bmi_percentile,physical_activity_days_code,computer_use_code,sleep_code,sex_code,age_code,survey_weight,physical_activity_days,computer_use_hours,sleep_hours,female,sex_label,age_years_approx
83.72971442,6.0,4.0,6.0,2.0,4.0,1.7171,5.0,2.0,9.0,1.0,Female,15.0
60.66321529,8.0,2.0,5.0,2.0,5.0,1.9541,7.0,0.5,8.0,1.0,Female,16.0
50.10948386,8.0,2.0,2.0,2.0,4.0,1.9541,7.0,0.5,5.0,1.0,Female,15.0
96.62999717,6.0,4.0,5.0,2.0,5.0,1.8559,5.0,2.0,8.0,1.0,Female,16.0
98.44322633,4.0,2.0,4.0,2.0,6.0,0.4294,3.0,0.5,7.0,1.0,Female,17.0
51.77995186,6.0,1.0,4.0,2.0,5.0,1.8559,5.0,0.0,7.0,1.0,Female,16.0
38.53470375,8.0,4.0,2.0,2.0,6.0,2.055,7.0,2.0,5.0,1.0,Female,17.0
97.32417296,3.0,6.0,5.0,2.0,7.0,2.055,2.0,4.0,8.0,1.0,Female,18.0
41.70582009,1.0,5.0,2.0,1.0,5.0,1.4373,0.0,3.0,5.0,0.0,Male,16.0
47.52350758,5.0,7.0,5.0,1.0,4.0,1.4024,4.0,5.0,8.0,0.0,Male,15.0
20.46953227,5.0,5.0,5.0,1.0,4.0,1.4024,4.0,3.0,8.0,0.0,Male,15.0
75.4379744,8.0,7.0,1.0,1.0,4.0,1.4024,7.0,5.0,4.0,0.0,Male,15.0
32.74319281,2.0,2.0,4.0,1.0,4.0,1.4024,1.0,0.5,7.0,0.0,Male,15.0
92.86925353,6.0,2.0,1.0,1.0,3.0,1.4024,5.0,0.5,4.0,0.0,Male,14.0
81.62895753,7.0,2.0,4.0,1.0,3.0,1.4024,6.0,0.5,7.0,0.0,Male,14.0
45.33714908,1.0,3.0,5.0,1.0,3.0,1.4024,0.0,1.0,8.0,0.0,Male,14.0
83.06926617,8.0,3.0,3.0,1.0,4.0,1.4024,7.0,1.0,6.0,0.0,Male,15.0
91.60778436,2.0,3.0,5.0,1.0,3.0,1.4024,1.0,1.0,8.0,0.0,Male,14.0
45.33714908,1.0,4.0,2.0,1.0,3.0,1.4024,0.0,2.0,5.0,0.0,Male,14.0
36.51881463,7.0,3.0,4.0,2.0,4.0,1.9541,6.0,1.0,7.0,1.0,Female,15.0
55.18146429,8.0,3.0,5.0,2.0,4.0,1.9541,7.0,1.0,8.0,1.0,Female,15.0
61.92023551,1.0,1.0,3.0,1.0,7.0,0.2747,0.0,0.0,6.0,0.0,Male,18.0
65.84221705,4.0,1.0,1.0,1.0,6.0,0.2747,3.0,0.0,4.0,0.0,Male,17.0
35.20622619,4.0,5.0,4.0,2.0,6.0,0.2549,3.0,3.0,7.0,1.0,Female,17.0
97.18899955,3.0,4.0,6.0,1.0,6.0,0.2747,2.0,2.0,9.0,0.0,Male,17.0
82.05508744,5.0,7.0,4.0,1.0,7.0,0.2883,4.0,5.0,7.0,0.0,Male,18.0
90.62341985,3.0,7.0,5.0,1.0,7.0,0.2747,2.0,5.0,8.0,0.0,Male,18.0
66.08178759,1.0,1.0,5.0,1.0,7.0,0.2747,0.0,0.0,8.0,0.0,Male,18.0
82.19258456,1.0,6.0,3.0,1.0,6.0,0.2747,0.0,4.0,6.0,0.0,Male,17.0
54.40385458,1.0,1.0,5.0,1.0,7.0,0.2747,0.0,0.0,8.0,0.0,Male,18.0
94.7249625,5.0,2.0,4.0,1.0,7.0,0.2747,4.0,0.5,7.0,0.0,Male,18.0
52.25342381,2.0,4.0,2.0,2.0,7.0,0.2549,1.0,2.0,5.0,1.0,Female,18.0
72.21362837,3.0,4.0,3.0,1.0,7.0,0.2747,2.0,2.0,6.0,0.0,Male,18.0
77.04936127,1.0,2.0,2.0,1.0,6.0,0.2747,0.0,0.5,5.0,0.0,Male,17.0
26.67157309,4.0,3.0,5.0,2.0,7.0,0.0644,3.0,1.0,8.0,1.0,Female,18.0
96.59822418,4.0,2.0,1.0,1.0,6.0,0.2747,3.0,0.5,4.0,0.0,Male,17.0
87.00265796,2.0,3.0,4.0,1.0,7.0,0.2747,1.0,1.0,7.0,0.0,Male,18.0
71.77163239,1.0,1.0,5.0,1.0,7.0,0.2747,0.0,0.0,8.0,0.0,Male,18.0
80.9826523,1.0,1.0,5.0,1.0,7.0,0.2747,0.0,0.0,8.0,0.0,Male,18.0
98.45821402,1.0,5.0,2.0,1.0,6.0,0.2747,0.0,3.0,5.0,0.0,Male,17.0
53.62901996,1.0,2.0,4.0,1.0,6.0,0.2747,0.0,0.5,7.0,0.0,Male,17.0
51.32765319,4.0,5.0,5.0,1.0,6.0,0.2747,3.0,3.0,8.0,0.0,Male,17.0
82.7114493,1.0,1.0,4.0,1.0,6.0,0.2747,0.0,0.0,7.0,0.0,Male,17.0
96.62805126,1.0,4.0,6.0,1.0,5.0,0.4168,0.0,2.0,9.0,0.0,Male,16.0
78.10688836,1.0,1.0,5.0,1.0,4.0,0.4168,0.0,0.0,8.0,0.0,Male,15.0
50.27447135,3.0,4.0,4.0,2.0,5.0,0.6713,2.0,2.0,7.0,1.0,Female,16.0
97.8304981,1.0,2.0,3.0,1.0,6.0,0.2734,0.0,0.5,6.0,0.0,Male,17.0
67.35690955,8.0,4.0,3.0,1.0,6.0,0.2734,7.0,2.0,6.0,0.0,Male,17.0
99.47646663,1.0,1.0,6.0,1.0,5.0,0.2734,0.0,0.0,9.0,0.0,Male,16.0
54.75617318,6.0,2.0,4.0,2.0,5.0,0.6713,5.0,0.5,7.0,1.0,Female,16.0
89.90649736,1.0,4.0,1.0,2.0,5.0,0.4294,0.0,2.0,4.0,1.0,Female,16.0
30.89048164,1.0,4.0,7.0,2.0,5.0,0.4294,0.0,2.0,10.0,1.0,Female,16.0
34.10784442,5.0,7.0,4.0,2.0,6.0,0.6713,4.0,5.0,7.0,1.0,Female,17.0
98.13332826,2.0,5.0,5.0,2.0,5.0,0.4294,1.0,3.0,8.0,1.0,Female,16.0
93.60689746,6.0,7.0,3.0,1.0,4.0,0.4168,5.0,5.0,6.0,0.0,Male,15.0
27.81918727,8.0,7.0,4.0,1.0,4.0,0.4439,7.0,5.0,7.0,0.0,Male,15.0
73.91347781,1.0,2.0,6.0,2.0,4.0,0.4294,0.0,0.5,9.0,1.0,Female,15.0
58.167767,4.0,3.0,1.0,2.0,5.0,0.4294,3.0,1.0,4.0,1.0,Female,16.0
44.70874303,4.0,3.0,3.0,2.0,4.0,0.4294,3.0,1.0,6.0,1.0,Female,15.0
81.5523064,3.0,6.0,3.0,2.0,5.0,0.4294,2.0,4.0,6.0,1.0,Female,16.0
98.17687957,7.0,2.0,4.0,2.0,4.0,0.4294,6.0,0.5,7.0,1.0,Female,15.0
81.82099807,3.0,3.0,4.0,1.0,5.0,0.1254,2.0,1.0,7.0,0.0,Male,16.0
31.315611,6.0,1.0,1.0,1.0,5.0,0.4168,5.0,0.0,4.0,0.0,Male,16.0
42.35560365,5.0,1.0,3.0,1.0,4.0,0.4032,4.0,0.0,6.0,0.0,Male,15.0
59.47446449,3.0,2.0,5.0,1.0,3.0,0.4032,2.0,0.5,8.0,0.0,Male,14.0
52.82514857,1.0,3.0,4.0,2.0,4.0,0.9658,0.0,1.0,7.0,1.0,Female,15.0
51.9110774,1.0,1.0,5.0,1.0,3.0,0.4032,0.0,0.0,8.0,0.0,Male,14.0
99.50570658,1.0,2.0,3.0,1.0,4.0,0.4032,0.0,0.5,6.0,0.0,Male,15.0
78.28265536,1.0,1.0,1.0,2.0,2.0,0.9658,0.0,0.0,4.0,1.0,Female,13.0
69.54558992,4.0,7.0,5.0,1.0,3.0,0.5169,3.0,5.0,8.0,0.0,Male,14.0
63.68390278,8.0,4.0,1.0,2.0,4.0,0.9658,7.0,2.0,4.0,1.0,Female,15.0
32.79325237,1.0,1.0,3.0,1.0,4.0,0.4032,0.0,0.0,6.0,0.0,Male,15.0
89.82805567,2.0,7.0,5.0,1.0,4.0,0.4032,1.0,5.0,8.0,0.0,Male,15.0
50.5995942,6.0,4.0,3.0,1.0,3.0,0.4032,5.0,2.0,6.0,0.0,Male,14.0
87.50167897,1.0,3.0,3.0,2.0,4.0,0.9658,0.0,1.0,6.0,1.0,Female,15.0
23.70077074,8.0,5.0,2.0,2.0,4.0,0.9658,7.0,3.0,5.0,1.0,Female,15.0
57.38131801,1.0,2.0,4.0,1.0,3.0,0.4032,0.0,0.5,7.0,0.0,Male,14.0
59.1349812,3.0,4.0,4.0,1.0,4.0,0.4032,2.0,2.0,7.0,0.0,Male,15.0
97.15410227,1.0,3.0,4.0,1.0,4.0,0.4032,0.0,1.0,7.0,0.0,Male,15.0
51.81370585,1.0,4.0,4.0,1.0,4.0,0.4129,0.0,2.0,7.0,0.0,Male,15.0
53.65951294,1.0,7.0,5.0,1.0,4.0,0.4032,0.0,5.0,8.0,0.0,Male,15.0
95.81029039,2.0,1.0,7.0,1.0,4.0,0.4032,1.0,0.0,10.0,0.0,Male,15.0
97.10273335,1.0,2.0,3.0,1.0,5.0,0.2734,0.0,0.5,6.0,0.0,Male,16.0
45.26162121,5.0,5.0,4.0,1.0,4.0,0.4168,4.0,3.0,7.0,0.0,Male,15.0
76.3857129,6.0,1.0,4.0,2.0,7.0,0.2549,5.0,0.0,7.0,1.0,Female,18.0
63.31177575,7.0,3.0,5.0,2.0,7.0,0.2549,6.0,1.0,8.0,1.0,Female,18.0
74.41919519,1.0,7.0,5.0,2.0,7.0,0.2549,0.0,5.0,8.0,1.0,Female,18.0
94.89062216,1.0,4.0,1.0,1.0,7.0,0.2747,0.0,2.0,4.0,0.0,Male,18.0
35.18872425,1.0,1.0,2.0,1.0,3.0,0.4366,0.0,0.0,5.0,0.0,Male,14.0
70.2948453,7.0,4.0,3.0,2.0,6.0,0.2549,6.0,2.0,6.0,1.0,Female,17.0
66.5318241,8.0,3.0,1.0,2.0,7.0,0.2549,7.0,1.0,4.0,1.0,Female,18.0
46.4073505,1.0,4.0,6.0,2.0,7.0,0.2549,0.0,2.0,9.0,1.0,Female,18.0
99.49405991,1.0,5.0,3.0,2.0,7.0,0.2549,0.0,3.0,6.0,1.0,Female,18.0
79.09665201,6.0,2.0,4.0,2.0,7.0,0.2549,5.0,0.5,7.0,1.0,Female,18.0
84.57523065,2.0,2.0,4.0,2.0,7.0,0.2549,1.0,0.5,7.0,1.0,Female,18.0
66.83362843,7.0,1.0,3.0,1.0,5.0,0.4168,6.0,0.0,6.0,0.0,Male,16.0
79.36575134,1.0,6.0,5.0,2.0,6.0,0.6713,0.0,4.0,8.0,1.0,Female,17.0
96.87222741,1.0,7.0,2.0,2.0,6.0,0.6713,0.0,5.0,5.0,1.0,Female,17.0
79.21086246,6.0,4.0,3.0,1.0,6.0,0.2734,5.0,2.0,6.0,0.0,Male,17.0
93.38873457,3.0,7.0,4.0,1.0,5.0,0.2734,2.0,5.0,7.0,0.0,Male,16.0
95.04052672,1.0,1.0,3.0,1.0,6.0,0.2734,0.0,0.0,6.0,0.0,Male,17.0
90.98298351,1.0,4.0,5.0,1.0,5.0,0.2885,0.0,2.0,8.0,0.0,Male,16.0
92.39337265,7.0,4.0,4.0,2.0,6.0,0.6713,6.0,2.0,7.0,1.0,Female,17.0
83.7161669,5.0,7.0,2.0,2.0,6.0,0.6713,4.0,5.0,5.0,1.0,Female,17.0
43.14984367,1.0,3.0,6.0,1.0,6.0,0.2734,0.0,1.0,9.0,0.0,Male,17.0
15.29718496,8.0,1.0,4.0,1.0,6.0,0.2734,7.0,0.0,7.0,0.0,Male,17.0
54.40385458,1.0,1.0,2.0,1.0,7.0,0.2747,0.0,0.0,5.0,0.0,Male,18.0
99.81899915,4.0,2.0,2.0,2.0,6.0,0.2549,3.0,0.5,5.0,1.0,Female,17.0
72.06573405,7.0,1.0,3.0,2.0,7.0,0.2549,6.0,0.0,6.0,1.0,Female,18.0
16.03372613,1.0,3.0,3.0,2.0,6.0,0.2549,0.0,1.0,6.0,1.0,Female,17.0
83.90660452,3.0,1.0,3.0,1.0,7.0,0.2747,2.0,0.0,6.0,0.0,Male,18.0
52.2899712,8.0,4.0,7.0,1.0,7.0,0.2747,7.0,2.0,10.0,0.0,Male,18.0
93.56257408,1.0,1.0,7.0,2.0,1.0,0.2548,0.0,0.0,10.0,1.0,Female,12.0
51.44659085,1.0,7.0,4.0,2.0,7.0,0.2549,0.0,5.0,7.0,1.0,Female,18.0
76.13913858,1.0,3.0,4.0,2.0,5.0,0.4294,0.0,1.0,7.0,1.0,Female,16.0
32.3855029,8.0,7.0,3.0,1.0,6.0,0.2734,7.0,5.0,6.0,0.0,Male,17.0
13.16010488,4.0,1.0,3.0,1.0,6.0,0.4439,3.0,0.0,6.0,0.0,Male,17.0
90.70482965,5.0,1.0,5.0,1.0,4.0,0.4168,4.0,0.0,8.0,0.0,Male,15.0
98.1620765,2.0,2.0,2.0,1.0,5.0,0.4168,1.0,0.5,5.0,0.0,Male,16.0
87.32744126,5.0,3.0,3.0,1.0,4.0,0.4168,4.0,1.0,6.0,0.0,Male,15.0
