physical_activity_days,count,mean,std
0.0,2994,65.22547199958173,28.484913565101042
1.0,1159,66.04701581310354,27.749181975301422
2.0,1179,65.72388293312045,27.958205217805745
3.0,1214,65.09863994866146,27.64636673011007
4.0,939,64.99352702269117,26.978887016333356
5.0,1267,65.71741205480427,25.98833727555814
6.0,671,62.98277406125187,26.260150586052365
7.0,1864,65.07954325329345,26.606637092269477
