Variable,Coefficient,Std. Error,t value,p value,CI Lower,CI Upper
Intercept,94.21765036943654,3.9899400469108084,23.61380102500139,2.2495322869847916e-120,86.39667244765427,102.03862829121881
Physical activity days,-0.2670016828287141,0.10322123031040958,-2.58669347406323,0.009702575906516995,-0.4693332852651861,-0.06467008039224215
Computer use hours,-0.1421155996484003,0.17147398148077475,-0.8287881252954632,0.40724184347618086,-0.4782344905474193,0.19400329125061874
Sleep hours,-0.8149525887801565,0.19650538692962446,-4.147227724968272,3.389895316703959e-05,-1.200137397228039,-0.4297677803322741
Female (vs male),3.4421810046517294,0.5350467563576325,6.433420937049712,1.2981403311820572e-10,2.3933961057823447,4.490965903521114
Age (approx years),-1.4916002125662475,0.21536100722000254,-6.926045860486248,4.5630067437384274e-12,-1.913745323238905,-1.06945510189359
